id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
20355158,Perfectly located next to Golden Gate Park,2073770,Brian,,Inner Richmond,37.77474665,-122.4738483,Private room,120,2,18,3/24/2018,2.45,1,44
22729976,Attic master suite,4669150,Kathryn,,Inner Sunset,37.7609932,-122.4614165,Private room,120,3,0,,,1,0
19194530,Private garden studio with kitchenette & bathroom,4203610,Ben,,Bayview,37.71887633,-122.3891499,Private room,71,2,39,3/29/2018,3.89,2,34
21731528,Room #A: spacious room in a convenient location,156102468,Nanthana,,Outer Mission,37.72623635,-122.4343527,Private room,150,2,1,3/23/2018,1,2,78
22108513,3BR Family Home - Golden Gate Park & Restaurants,94057535,Josh,,Inner Richmond,37.77847938,-122.4635512,Entire home/apt,339,3,22,4/4/2018,5.41,1,67
11418326,"Sunny, spacious single-family home",36473294,Krista,,Inner Richmond,37.77863791,-122.4655472,Entire home/apt,225,4,8,10/11/2016,0.39,1,0
17438541,Charming 2 bedroom flat with free parking,77807259,Guanying,,Outer Sunset,37.75406474,-122.4860963,Entire home/apt,209,2,58,4/4/2018,5.19,3,55
15010218,Glen Park Bedroom + Neighborhood Parking,90541912,Rob,,Glen Park,37.73365785,-122.4334555,Private room,100,4,97,3/4/2018,5.15,4,111
22250457,Spacious living with a huge garden in Noe Valley,17506355,Won Chan (원찬),,Noe Valley,37.74765952,-122.4326927,Private room,89,3,1,12/27/2017,0.29,3,0
3522990,Gorgeous House with Big Garden in Sunny Potrero,17742173,Nicola,,Potrero Hill,37.75465621,-122.4017312,Entire home/apt,300,7,8,3/12/2018,0.24,1,19
15126863,Entire Home,14766201,Tom,,Diamond Heights,37.74531235,-122.4434383,Entire home/apt,225,7,6,1/3/2018,0.34,2,63
8171889,Amazing Classic 1800's Mansion,4152894,Gena And,,Haight Ashbury,37.77036714,-122.4413513,Private room,225,3,7,10/9/2016,0.23,2,3
