id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
958,"Bright, Modern Garden Unit - 1BR/1B",1169,Holly,,Western Addition,37.76931038,-122.4338563,Entire home/apt,170,1,125,1/5/2018,1.2,1,133
5858,Creative Sanctuary,8904,Philip And Tania,,Bernal Heights,37.74511233,-122.4210179,Entire home/apt,235,30,112,8/6/2017,1.05,1,341
7918,A Friendly Room - UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.7666896,-122.4525046,Private room,65,32,17,11/21/2016,0.17,7,365
8014,Newly Remodeled room in big house WIFI market,22402,Jia,,Outer Mission,37.73074593,-122.4484086,Private room,60,4,74,1/3/2018,1.1,3,34
8142,Friendly Room Apt. Style -UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76487219,-122.451828,Private room,65,32,7,8/12/2017,0.17,7,365
8339,Historic Alamo Square Victorian,24215,Rosy,,Western Addition,37.77524859,-122.4363737,Entire home/apt,575,5,26,11/10/2017,0.26,2,89
8567,Lovely 2BR flat Great Location ,25601,Sandy,,Western Addition,37.78470745,-122.4455543,Entire home/apt,255,2,27,8/12/2017,0.26,1,38
8739,"Mission Sunshine, with Private Bath",7149,Ivan & Wendy,,Mission,37.7591889,-122.4223669,Private room,139,1,551,1/29/2018,5.32,2,138
9225,Artful Potrero Separate Floor with Garden,29674,Gae,,Potrero Hill,37.76258885,-122.4054306,Private room,135,1,385,1/25/2018,3.82,1,315
10251,Victorian Suite in Inner Mission,35199,Roman & Sarah,,Mission,37.75874295,-122.413272,Entire home/apt,240,3,271,1/3/2018,2.65,1,280
10832,Union Square Modern Loft,38836,Bernat,,Downtown/Civic Center,37.7857389,-122.4079771,Entire home/apt,139,30,15,8/31/2017,0.25,3,288
12041,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.77018946,-122.4459422,Private room,85,32,5,10/16/2016,0.06,7,365
12042,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76894262,-122.4477822,Private room,85,32,5,10/18/2015,0.09,7,365
12522,Perfectly located Castro,18431,Brenda,,Castro/Upper Market,37.76074548,-122.4303241,Private room,79,3,349,1/24/2018,3.56,1,25
14125,Gallery Residence,55475,Olivia,,Mission,37.7549067,-122.422455,Entire home/apt,215,3,81,1/13/2018,0.83,1,335
18904,Tranquil Lower Haight w/pvt bath,72464,Patrick,,Western Addition,37.77252152,-122.4321565,Private room,110,2,296,1/28/2018,3.94,2,65
19040,Mission Garden Retreat,72731,David,,Mission,37.76348967,-122.415174,Private room,188,5,215,11/11/2017,2.23,1,0
21914,A Friendly Room Apt. Style-UCSF/USF-San Francisco,21994,Aaron,,Haight Ashbury,37.7648003,-122.4525132,Private room,65,32,14,8/16/2017,0.33,7,365
23540,Modern in-Law Unit in the Happening,92400,Daniel & Svetlana,,Mission,37.75065033,-122.4198382,Entire home/apt,225,3,71,1/18/2018,0.74,1,183
23611,Bernal Heights Gem with Fab Views !,18732,Cecilia,,Bernal Heights,37.74556319,-122.4120681,Private room,95,3,202,1/13/2018,2.13,2,349
23630,Castro Guest Suite With Continental Breakfast,93257,Daniel,,Castro/Upper Market,37.75963016,-122.4414323,Entire home/apt,155,3,300,1/30/2018,3.23,1,210
24463,"Potrero Hill ""Nest"" Quiet, Comfy & Convenient",99128,Cathryn,,Potrero Hill,37.75644595,-122.3991023,Private room,155,2,230,1/14/2018,2.46,2,154
24685,Castro/Haight San Francisco,100567,Alison,,Haight Ashbury,37.7716176,-122.438362,Private room,79,1,149,1/29/2018,1.62,1,294
24723,Apartment-like rooms in PacHeights,100800,Cynthia,,Western Addition,37.78716465,-122.4338611,Entire home/apt,195,5,221,1/27/2018,2.32,2,94
25094,San Francisco's Luxury Oasis On Noe,103339,Bruce,,Noe Valley,37.74187613,-122.4312154,Private room,150,5,11,11/8/2017,0.56,1,363
25463,Modern Zen in the Lower Haight,72464,Patrick,,Western Addition,37.77728949,-122.4342115,Private room,110,2,338,1/21/2018,3.82,2,56
25662,"Convenient, quiet, private!",106005,Gayle,,Potrero Hill,37.76212202,-122.395409,Private room,125,4,263,1/15/2018,2.86,1,308
25927,"CALEF HOUSE Rm 2, Priv Rm in Beaut SF Victorian",109045,Ronda,,Western Addition,37.78894736,-122.4303064,Private room,110,2,52,1/10/2018,0.75,3,365
27025,Edwardian Flat on Castro/Eureka Vly,115673,Luis,,Castro/Upper Market,37.76297968,-122.4313644,Entire home/apt,195,30,127,1/14/2018,1.35,1,301
27028,Secret Mission Garden,7149,Ivan & Wendy,,Mission,37.76097556,-122.4215808,Entire home/apt,199,1,20,11/11/2017,0.6,2,4
