id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
276170,Charming Craftsman Home,1443059,Lisa,,Seacliff,37.78261313,-122.4945522,Entire home/apt,280,20,5,7/14/2015,0.08,1,49
1931937,Blocks from GG Park & Ocean Beach,7932270,Noam,,Seacliff,37.78156409,-122.4944245,Private room,85,3,53,6/18/2017,1.27,2,64
929796,Cozy one bedroom apartment available,5006769,Tory,,Seacliff,37.78454706,-122.4882697,Entire home/apt,150,2,3,7/29/2013,0.06,1,3
11187767,Huge Seacliff Penthouse With Views,58242037,Jonathan,,Seacliff,37.7796847,-122.5104717,Entire home/apt,370,2,9,6/17/2017,0.58,1,147
16362304,Best Master Suite in Town,36381578,Harris,,Seacliff,37.77984146,-122.5054831,Private room,85,3,17,6/25/2017,3.05,3,149
18022892,Pacific Ocean Retreat - Perfect for Outside Lands!,123931387,Milena,,Seacliff,37.78037525,-122.5059029,Entire home/apt,169,6,2,5/30/2017,1.15,1,137
9824673,STUNNING HOUSE BY OCEAN BEACH -Long term 30+ days!,49499644,Denise,,Seacliff,37.78180354,-122.5073274,Entire home/apt,185,30,5,9/8/2016,0.32,1,331
2134100,Ocean Beach hilltop cottage (30 day rental or more,10889606,Marty And Alexis,,Seacliff,37.78388809,-122.5085568,Entire home/apt,115,30,253,6/15/2017,6.06,1,275
7856443,The Real San Francisco #2,6076870,Todd And Tatyana,,Seacliff,37.78227777,-122.4927843,Entire home/apt,195,2,28,7/1/2017,2.03,2,9
14252951,Cozy apartment in beautiful SF :),30270108,Safe,,Seacliff,37.78344216,-122.4925496,Entire home/apt,175,1,6,5/7/2017,0.55,1,0
6938818,Best Secret in Town,36381578,Harris,,Seacliff,37.78065902,-122.5056348,Private room,107,3,56,6/28/2017,2.28,3,172
16064495,Charming house with view of Golden Gate Bridge,25596860,Teresa,,Seacliff,37.78792334,-122.484357,Entire home/apt,244,2,0,,,1,0
17701106,32nd Ave Casa,120614686,Deanna,,Seacliff,37.78342478,-122.492879,Entire home/apt,98,1,12,6/9/2017,5,1,0
16570521,Lands' End hideaway,21303289,Eugenia And Alessandro,,Seacliff,37.78733113,-122.4921169,Private room,120,4,12,6/17/2017,2.75,2,42
69681,Panorama Pacific View - Pet Friendly,127367,Annette,,Seacliff,37.77706907,-122.5092319,Entire home/apt,170,30,5,3/24/2016,0.07,25,305
8411606,comfy oceanside nest,21303289,Eugenia And Alessandro,,Seacliff,37.78667508,-122.4931617,Private room,149,2,92,6/19/2017,4.63,2,63
8001958,Ocean and park front panoramic view,24591867,Raul,,Seacliff,37.78070781,-122.50916,Entire home/apt,1850,1,0,,,1,0
1427660,Charming Studio Apt at Ocean Beach,2275604,Laurie,,Seacliff,37.77523613,-122.5091375,Entire home/apt,159,2,308,6/27/2017,6.58,1,285
15664146,Spacious 3 beds in convenient/safe neighborhood,101134145,Ey,,Seacliff,37.78436456,-122.4895147,Entire home/apt,295,2,24,6/24/2017,3.29,1,194
18396762,Bliss Sanctuary Rejuvenation Home,5684789,Chinnamasta,,Seacliff,37.78161681,-122.495435,Entire home/apt,180,3,5,7/1/2017,4.17,1,82
3168359,Charming & Private Ideal location,16071511,Jamie,,Seacliff,37.77931904,-122.5096352,Entire home/apt,183,3,121,6/26/2017,3.48,2,310
8388658,Mid-century Seacliff near GG Bridge,9996441,Howard,,Seacliff,37.78766423,-122.4891522,Entire home/apt,895,3,0,,,1,0
9904485,Great Room!,13046907,John,,Seacliff,37.78548686,-122.4880113,Private room,195,1,0,,,2,0
10961737,Spacious 1bd with balcony,55986312,Djibril,,Seacliff,37.78556601,-122.4887286,Private room,300,1,0,,,1,365
18160009,"Sunny Victorian, 1 Bedroom, 2 blocks from GG Park",4717811,Miles,,Haight Ashbury,37.76734387,-122.4488915,Entire home/apt,175,2,0,,,1,0
13772008,Peaceful Sanctuary in The Heart of Haight/Ashbury,80824107,Toni,,Haight Ashbury,37.77078318,-122.4440097,Entire home/apt,200,2,2,3/13/2017,0.16,1,0
14219518,Charming spacious room in Victorian house,40016123,Caroline,,Haight Ashbury,37.77114741,-122.4373469,Private room,129,2,39,6/17/2017,4.16,3,56
9633626,Panhandle Family Flat,22784261,Jj,,Haight Ashbury,37.77488365,-122.4399882,Entire home/apt,350,1,0,,,1,0
13466982,Beautiful Home on Golden Gate Park!,12612046,Eric,,Haight Ashbury,37.77391117,-122.4454025,Private room,157,1,5,3/18/2017,0.46,1,111
6500567,"Large Private Room, Huge Windows",8283086,Jessica,,Haight Ashbury,37.77386629,-122.4492631,Private room,90,1,1,3/1/2016,0.06,1,0
91957,Sunny SF Flat with 5*s 15% Tax Incd,495796,Joy,,Haight Ashbury,37.76193577,-122.4492861,Entire home/apt,300,3,76,6/5/2017,1.08,1,284
1030032,Zazie,5667378,Xiao,,Haight Ashbury,37.76621357,-122.449063,Private room,60,1,0,,,2,360
5685743,Edwardian 3BR/3BA Apartment,13697375,Peter,,Haight Ashbury,37.7659646,-122.4483103,Entire home/apt,465,2,3,9/15/2015,0.13,1,20
13746665,Fabulous SF House in historic Haight Ashbury,2715809,Gregory,,Haight Ashbury,37.76337706,-122.4451433,Entire home/apt,750,4,1,7/16/2016,0.09,1,14
791573,Historic Haight/Ashbury Apartment,3057214,Gavin,,Haight Ashbury,37.77406595,-122.4428167,Private room,80,3,90,5/28/2017,1.89,1,229
18358794,A peaceful and new Victorian townhouse space,16036826,Maria,,Haight Ashbury,37.77435003,-122.4429298,Private room,100,7,1,5/19/2017,0.67,3,3
1206233,In the Heart of Haight/Ashbury # 5 STR-0001966,4677165,Ashirvadam,,Haight Ashbury,37.77027554,-122.4475732,Private room,79,1,222,6/5/2017,4.56,4,306
9598259,Spacious room in Victorian Mansion,3000588,Zain,,Haight Ashbury,37.77299824,-122.4489683,Private room,78,1,0,,,1,0
12309468,Charming sf studio,66380691,Ashley,,Haight Ashbury,37.7702367,-122.4520824,Entire home/apt,250,1,0,,,1,365
2061039,Sunny Edwardian 2-Bedroom Apartment,9387424,Donal,,Haight Ashbury,37.77501096,-122.4445273,Entire home/apt,290,2,0,,,1,212
8908906,Spacious Apartment  Haight Ashbury,27653019,Thomas,,Haight Ashbury,37.77105561,-122.4443931,Entire home/apt,320,1,0,,,1,0
18871091,Bright upper flat in Panhandle,22923465,Basil,,Haight Ashbury,37.77522282,-122.4461959,Private room,100,3,2,6/26/2017,2,1,19
3240016,Great Duboce Park Garden Apartment,13973946,Sandra,,Haight Ashbury,37.76947242,-122.4377042,Entire home/apt,140,30,153,6/16/2017,4.16,2,234
14200724,Luxury Apartment - great place in Centre City,8522604,Kim,,Haight Ashbury,37.77018318,-122.4377721,Private room,299,1,0,,,1,365
7022309,Sunny Queen in a restored Edwardian,9177164,Beth,,Haight Ashbury,37.77497609,-122.4435542,Private room,93,1,42,6/9/2017,1.79,4,37
12005182,Blue House Grotto,64201770,Sherri,,Haight Ashbury,37.77191661,-122.4435415,Private room,125,1,2,2/8/2017,0.13,1,0
17343208,Private Room in Historic B&B - Redwood Forest,117141107,Zarinah,,Haight Ashbury,37.77037871,-122.449475,Private room,135,2,30,6/15/2017,7.32,6,32
6451098,3 rooms in ex-b&b in the ❤️ of S.F.,23942099,Robert Stern &,,Haight Ashbury,37.76090479,-122.4467282,Entire home/apt,350,2,7,6/5/2017,0.29,5,335
7842860,2 bed/2 bath Great Location,9270849,Neela,,Haight Ashbury,37.77261345,-122.4472685,Entire home/apt,245,2,0,,,2,365
10839763,Bedroom in Beautiful Victorian,21229755,Matt,,Haight Ashbury,37.77094602,-122.4394324,Private room,65,4,8,6/16/2016,0.5,1,0
6374167,Private Quiet Room,33217272,Joanna,,Haight Ashbury,37.76637208,-122.4467014,Private room,80,7,17,6/29/2017,0.85,1,138
1053945,Victorian Garden / City Living,5803665,Jacqui,,Haight Ashbury,37.77060059,-122.4507446,Entire home/apt,150,3,137,6/14/2017,2.72,1,262
1827776,Upper Terrace Cottage,9286303,Vacation Rentals,,Haight Ashbury,37.76661601,-122.4422782,Entire home/apt,258,3,1,3/26/2015,0.04,2,242
4886010,Bright private room with bathroom,2994563,Joanna,,Haight Ashbury,37.77017821,-122.4505405,Private room,145,1,0,,,1,332
8473252,NOPA-Alamo Square Spot,482426,Mark,,Haight Ashbury,37.77432895,-122.4389409,Private room,200,5,0,,,1,0
4379621,Elegant apartment in Haight-Ashbury,22740583,Greg,,Haight Ashbury,37.77000007,-122.4481368,Entire home/apt,211,2,99,6/5/2017,3.17,1,318
12128075,Private Master Bedroom in Beautiful Victorian Flat,8389735,Yoonha,,Haight Ashbury,37.77485185,-122.4443559,Private room,65,1,10,3/19/2017,0.66,1,0
2166428,Sunny 1BR Apt in Haight-Ashbury,10934623,Tisa,,Haight Ashbury,37.7668757,-122.4464571,Entire home/apt,198,30,137,6/17/2017,3.27,1,269
1083331,Very spacious 3B Edwardian flat in prime location,5260208,Laurent,,Haight Ashbury,37.76860976,-122.4466298,Entire home/apt,350,1,11,8/1/2016,0.23,1,8
10830082,"Bohemian, bright, 1BR Upper Haight",7366918,Linda,,Haight Ashbury,37.77033337,-122.444341,Entire home/apt,500,1,0,,,1,0
4729656,1BR in NOPA near Haight & Alamo Sq,4168170,Oscar,,Haight Ashbury,37.7743342,-122.4416459,Entire home/apt,150,2,0,,,1,0
130775,Emergency happy room-sink/tv,21994,Aaron,,Haight Ashbury,37.76608594,-122.451262,Private room,65,32,9,5/27/2017,0.15,7,330
12042,Sunny/Sunset view room,21994,Aaron,,Haight Ashbury,37.76894262,-122.4477822,Private room,85,32,5,10/18/2015,0.1,7,365
8142,Friendly Room Apartment Style,21994,Aaron,,Haight Ashbury,37.76487219,-122.451828,Private room,65,32,6,5/18/2016,0.17,7,324
10721140,Classic SF apartment - Perfect for Dreamforce,13038945,Sam,,Haight Ashbury,37.77013424,-122.4375709,Entire home/apt,1178,3,1,10/7/2016,0.11,1,0
8275971,Alamo Square Studio,25169174,Tony,,Haight Ashbury,37.7758836,-122.4383844,Entire home/apt,400,3,0,,,1,0
16896403,Historic Craftsman in Ashbury Heights,14699370,Frank,,Haight Ashbury,37.76498516,-122.4451412,Entire home/apt,520,5,0,,,1,0
72205,Cute Cole Valley Cottage w/ Views,373635,Amanda,,Haight Ashbury,37.76073295,-122.4471673,Entire home/apt,500,4,1,7/4/2011,0.01,1,182
21914,A Friendly Room Apartment Style,21994,Aaron,,Haight Ashbury,37.7648003,-122.4525132,Private room,65,32,13,10/9/2016,0.18,7,320
7918,A Friendly Room,21994,Aaron,,Haight Ashbury,37.7666896,-122.4525046,Private room,65,32,17,11/21/2016,0.18,7,365
5286047,Stylish NOPA Pad,1674453,Adam,,Haight Ashbury,37.77612045,-122.4404803,Entire home/apt,240,3,30,6/26/2017,1.06,1,0
130565,Large flat in Cole Valley (w/cat),642739,Margaret,,Haight Ashbury,37.76570437,-122.448585,Entire home/apt,350,5,6,1/1/2016,0.08,1,182
